pno, , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , 2, , , , , , , 6, 5, , , 5, 5, , , , , , , , , 1, , , , , , , , , 1, , 4, , , , , , , , 2, , , , , 2, 5, 2, , , , , , 2, 2, , , , 1, , 1, 1, , 4, 1, 1, 1, 1, 1, , 1, , , , , , 3, 1, , 5, 2, 1, , , , 1, , , , , 3, , , , , , , , 2, , , 1, 1, , , , , , , , 4, , , , , 2, 2, , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 5, 1, , , , , , , , , , 1, , , , 1, 4, 8, 11, , , , , , 
tsh, , , , , , , , , , , , , , , 1, 1, 2, 1, , , , , , , 2, 2, 2, 2, 2, , , , 1, 1, 1, 2, , 8, , 5, 5, , , , 3, 1, 2, , , , , , , , 1, , 5, , , , 4, , , , , , , , , , , , , 2, 1, 1, , , , , , 2, 4, , , , 1, , 1, 1, 6, 3, 1, 1, 5, 1, 7, 2, 2, , , , , 3, 3, 2, 5, 5, 5, 1, , , , , , , , 2, , , , , , , , 4, 2, , , , 1, 5, 3, 1, 2, 4, , , , 3, 3, 3, 1, 2, 2, , , , , , , , , , , , , , , , 15, , 3, , 1, 2, 4, 19, 2, , , , , , , , , , 17, , , 4, 4, 2, 8, 6, , , , , , 
mna, , , , , , , , , , , , , , , 6, 8, 1, 1, , , , , , , , , , , 4, , , , , , , 2, , 4, 3, , , , , , , , , 6, , , , 2, , , 9, , , , , , 2, , , , , , , , , , , , , 1, 1, 2, 4, , 2, 3, 3, , , , , , 2, , 2, 2, , 2, 2, 2, 2, 1, 1, , 1, , , , , 2, 6, 2, 5, 4, 4, 4, , , 2, 2, 5, 2, 2, , , 2, , , , , , 2, 2, , , , 6, , , , , 3, 4, 4, , 1, 1, 1, 1, , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 2, 3, , 2, , , , 4, 1, 7, 4, , , , , , , , , , , , , , 
tuk, 3, 2, 3, 1, 1, 1, 3, 2, 1, 2, , 1, 1, 1, 6, 8, 1, 1, 1, 1, 7, 3, 2, 4, 4, 2, 5, 2, 5, 1, 1, 3, 1, 1, 1, 9, , 4, 3, 2, 4, 3, , 3, 3, 1, 1, 6, 3, , 1, 2, 1, 1, 9, , 3, 1, 2, 1, 4, 2, 1, 2, 6, 2, 4, , 1, 2, 4, 1, 4, 1, 2, 4, 4, 2, 2, 1, 3, 1, 1, 1, 5, 1, 4, , 2, 2, , 2, 2, 2, 2, 2, 7, , 3, 3, , , , , 2, 3, 1, 4, 5, 4, 4, 4, 2, 2, 5, 2, 2, 2, 2, 1, 3, 4, 3, 3, 3, 2, , 1, 7, , 1, , 1, 1, 2, , 4, 4, 3, 2, 2, 1, 1, , , , 1, , , , , 1, 1, 1, 1, , , , , 2, 1, , , , 1, 4, 4, 12, 3, , , , , , , , , , , , , , , , , , 4, , 1, 6, 4, 
nen, 4, 2, 4, 2, 1, 1, 1, 2, 1, 2, , 1, 3, 1, 2, 8, 3, 1, 1, 7, 1, 2, 1, 2, 3, 2, 5, 2, 2, , 3, 2, 1, 1, 1, 2, , 8, , , , 3, , 3, , , , 6, , 1, , 3, 6, 4, 1, 3, 7, 4, 1, , 2, 2, 1, 1, , , 2, 2, , 2, 1, 1, 4, 2, 2, 4, 1, 2, 2, , 2, 3, 2, 4, 2, 1, 1, , 1, 1, 3, 1, 1, 1, 1, 1, , , , , , , , , , , , 1, , 1, 2, 2, 2, 2, 2, 4, 1, , , 1, , , , , , 2, 3, 2, 1, , , 2, 2, 2, 2, 1, , , , , , , , , , , 1, , , , , 2, 2, 1, 1, , , , , , 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
eve, 2, 2, 3, 2, 2, 1, 1, 2, 1, 2, , 1, 2, 1, 1, 3, 2, 2, 1, 1, 1, 3, 1, 4, 2, 3, 5, 2, 2, 3, 4, 3, 1, 1, 1, 2, 6, 7, 1, 5, 5, 5, , 5, 2, 1, 1, 6, 1, 1, 1, 3, 8, 2, 1, 2, 7, 4, 1, 3, 2, 1, 1, 1, 6, 2, 2, , 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 5, 1, 1, , 1, 1, , 1, 1, 1, 1, 1, 2, 1, , 6, , , , 1, 2, 1, 4, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 3, 4, 8, 5, , 2, 6, 2, 1, 1, 1, , 2, 2, 2, 1, 4, 4, 4, 3, 3, 3, 3, 2, 2, , 1, , , , , , , , , 1, , , , , 14, 2, , , 1, 2, 4, 18, 3, , , , , , , , , , 16, , 4, , 4, 4, 5, 6, , , , , , 
evn, 2, 2, 3, 2, 2, 1, 1, 2, 1, , , 1, , 1, , , , , 1, 1, , , , , , , , , 2, , , , , , , 2, , , , 5, 5, , , , 2, , , , , 1, , , , , 1, 2, 5, , , , 2, , , , , , , 2, , , , , , 2, 1, 3, 1, 2, , , , , , , , , 1, , 1, 1, , 1, , 1, , , 2, 1, , 6, , , , , , , , 1, 1, 1, , , , , , , , , 2, , , , , , , , 6, , , , 1, 2, 2, 2, 2, 1, , , , , , , , , , , , , , , , , , , , 1, , , , , 14, 2, , , 1, 2, 4, 18, , , , , , , , , , , 16, , 15, , , , , 6, , , , , , 
mnc, 2, 2, 3, 2, 2, 1, 1, 2, , , , 4, , , , , , , 1, 1, , , , , , , , , 2, , , , , , , 2, , , 1, , , , , , , , , , , , , , , , 1, 2, 5, 4, , , , , , , , , , 1, , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, , 1, , 1, , , , , , , , , , 1, 6, , 2, 1, , 1, , , , , , , , , , , , , , , , , 1, , , , 2, 1, 2, 1, 1, 1, , , , , , , , 1, 2, , , , , , , , , , , , , , , , 4, , , , 4, 2, 4, 20, , , , , , , , , , , 6, , , , 4, 4, 8, 2, , , , , , 
udh, , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , 1, , , , , , 2, 3, , 6, , 1, , 4, 7, 2, , , , 7, , , , , , , , , , , 1, , , , , , 1, 1, 1, 2, 2, 2, 2, , , , , , 1, , 1, 1, , 1, 1, 1, , , 7, 3, , 2, , , , , 6, 2, , 1, 5, 1, , , 2, , 2, 3, 1, 1, , 1, , , , , , , 3, , , 1, 6, , , , , , , , 4, , 3, 3, 2, 1, 2, , , , , , , , , , , , , , , 3, 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
kut, 4, 1, 5, 1, 1, 4, 6, 5, 3, 2, , 1, 3, 1, 6, 8, 6, 1, 1, 1, 1, 3, 1, 3, 3, 1, 5, 2, 3, 3, 1, 3, 1, 1, 1, 1, 3, 4, 4, 1, 4, 3, , 2, 3, 1, , 6, 1, 1, 2, 1, 1, 1, 9, , , 1, 1, 1, 2, 1, 1, 1, 4, 2, 8, , 1, 2, 4, 1, 4, 5, 1, , 4, 2, 3, 3, 3, 1, 1, 4, 5, 1, 7, 2, 2, 2, , 5, 2, 4, 1, 1, 3, , , 1, , , , 1, 1, 1, 1, , 5, 5, 1, 1, 2, 4, 5, 5, 2, 3, 2, 1, 3, 4, 3, 1, , 2, 2, 1, 7, , 1, , , , , , , , 2, , , , , 2, 2, , 1, , , , , 1, 1, 1, 1, , , , , , 1, , , , 1, 4, 4, 16, 3, , , , , , , , , , , , , , , , , , 5, , 1, 6, 4, 
