afr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3, , , , , , 2, 1, , , , , 1, , , , , 1, 6, 1, , , , , , , , , , , , 2, 1, 2, 2, , , , , , , , , 2, 4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bgi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bhi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5, 4, 2, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bho, , , , , , , , , , , , , , , 1, 4, 7, 4, , , , , , , , , , , 2, , , , , , , 2, , , , , , , , , , , , , , , , , , , 1, , , , , , 4, , , , , , , , , , , , , 2, , , , , , , , , , , , , 1, , 1, 1, 3, 1, 1, 1, 1, 1, , , , , , , , , 1, 2, 1, 1, , 1, , , , , , , , 1, , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 7, 3, , , , , , , , , , 3, , , , 4, 4, 1, 11, , , , , , 
bkt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , 4, , , , , , , , , , , , 1, , 1, 1, , , 1, 1, 1, 1, , , , , , , , , , , , , , 1, , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
blc, , , , , , , , , 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, 1, 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, 2, 1, , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
blr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , 1, , , , , 1, , 7, , , , , , , , , , , , , , , , , 4, , , , , , , , , , 3, 5, 1, 7, , 3, 3, 6, , 2, 1, 1, , 1, , 1, , , , , , 1, , , 5, 5, 5, , , , , , , , , , , , , , , , , 2, , , , 1, , , , , , , , , , , , , 1, 2, , , , , , , , , , , 1, , , , , 1, , , , 1, 4, 4, , , , , , , , , , , , , , , , , , , , , , , , , 
bos, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bre, 4, 3, 3, 4, 2, 1, 1, 2, , , , 2, 3, 1, 6, 8, 1, , 1, 1, , , , , , , , , 3, , , , , , , 2, , , , 1, 1, , , , , , , , 2, , , , , , 7, 1, 7, , , , 2, , , , , , , 1, , , , , , 2, 1, , , , , , , 1, 1, , , , 2, , 2, 2, , 2, 2, 2, 2, 1, 1, , 1, , , , , 3, 1, 1, 1, 4, 4, 4, , , , 2, , , , , , , , , , , , , 6, , , , 1, 1, 2, 2, 1, 1, , , , , , , , 2, 2, , , , , , , , , , , 2, , , , , 14, 13, , , 1, 1, 4, 18, , , 14, , 12, , 4, 5, 5, 4, , , , , , , , , , , , , , 
bul, 5, 2, 3, 4, 2, 1, 1, 2, , , , 1, 3, 1, , , , , 1, 1, , , , , , , , , 2, , , , , , , 2, , , 2, 1, , , , , , , , , , 1, 2, , 1, 3, 9, , 7, 5, 1, , 4, , , , , , 3, 1, , 1, 1, 2, 3, 2, 1, 4, 1, 2, , , , 3, 3, 1, 1, 1, 2, , 3, 2, 1, 2, 3, 1, 1, 1, 1, , 1, , , , , 1, 3, 1, 1, 4, 4, 3, , , , 2, , , , , 3, , , , , , , , 2, , , 1, 1, , 2, 2, 1, , 1, 1, 2, , , , , , , , , , , , , , , , , 1, , , , 1, 1, , , , 1, 4, 4, 2, 3, , 2, , , , 4, 1, 7, 4, , , , , , , , , , , , , , 
crn, , , , , , , , , , , , , , , 6, 8, 1, 1, , , , , , , , , , , 2, , , , , , , 2, , , , 1, 4, , , , , , , , 2, , , , , , 9, , , , , , 4, , , , , , , , , , , , , 2, , , , , , , , , , , , , 2, , 1, 2, , 2, 2, 2, 2, 1, 1, , 1, , , , , , 1, 2, 1, 4, 4, 4, , , , 2, , , , , , , , , , , , , 2, , , , 1, , , , , , , , , , , , , 2, 2, , , , , , , , , , , , , , , , 1, , , , 1, 4, 4, 9, 3, 5, , , , , , , , , , , , , , , , , 7, , 1, 6, 4, 
